title,filename,category,subject,id,prompt,negativePrompt,lora
Stacked Papercut,00405-Stacked Papercut.jpg,Papercraft,Éclair,pastry,"Stacked papercut art of a single caramel éclair on a fancy plate, fine pastry . 3D, layered, dimensional, depth, precision cut, stacked layers, papercut, high contrast","2D, flat, noisy, blurry, painting, drawing, photo, deformed",,""
Thick Layered Papercut,00406-Thick Layered Papercut.jpg,Papercraft,Éclair,pastry,"Thick layered papercut art of a single caramel éclair on a fancy plate, fine pastry . Deep 3D, volumetric, dimensional, depth, thick paper, high stack, heavy texture, tangible layers","2D, flat, thin paper, low stack, smooth texture, painting, drawing, photo, deformed",,""
Alien,00407-Alien.jpg,Photo,Éclair,pastry,"Alien-themed a single caramel éclair on a fancy plate, fine pastry . Extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed","earthly, mundane, common, realistic, simple",,""
Cinematic (Jugger XL),00408-Jugger XL (Cinematic).jpg,Photo,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:jugger-xl:1> Cinematic","",,"Juggernaut Cinematic XL LoRA"
Cinematic Lighting (Jugger XL),00409-Jugger XL (Cinematic Lighting).jpg,Photo,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:jugger-xl:1> Cinematic Lighting","",,"Juggernaut Cinematic XL LoRA"
Cinematic Shot (Jugger XL),00410-Jugger XL (Cinematic Shot).jpg,Photo,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:jugger-xl:1> Cinematic Shot","",,"Juggernaut Cinematic XL LoRA"
Double Exposure,00411-Double Exposure.jpg,Photo,Éclair,pastry,"Double Exposure Style, a single caramel éclair on a fancy plate, fine pastry, double image ghost effect, image combination, double exposure style","ugly, deformed, noisy, blurry, low contrast",,""
Faded Polaroid Photo,00412-Faded Polaroid Photo.jpg,Photo,Éclair,pastry,"Faded Polaroid Photo, a single caramel éclair on a fancy plate, fine pastry, analog, old faded photo, old polaroid","ugly, deformed, noisy, blurry, low contrast, vibrant, colorful",,""
Film Noir,00413-Film Noir.jpg,Photo,Éclair,pastry,"Film noir style a single caramel éclair on a fancy plate, fine pastry . Monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vibrant, colorful",,""
Film Still (Jugger XL),00414-Jugger XL (Film Still).jpg,Photo,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:jugger-xl:1> Film Still","",,"Juggernaut Cinematic XL LoRA"
HDR,00415-HDR.jpg,Photo,Éclair,pastry,"HDR photo of a single caramel éclair on a fancy plate, fine pastry . High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed","flat, low contrast, oversaturated, underexposed, overexposed, blurred, noisy",,""
Knolling Photography,00416-Knolling Photography.jpg,Photo,Éclair,pastry,"Knolling Photography, a single caramel éclair on a fancy plate, fine pastry, flat lay photography, object arrangment, knolling photography","ugly, deformed, noisy, blurry, low contrast",,""
Long Exposure,00417-Long Exposure.jpg,Photo,Éclair,pastry,"Long exposure photo of a single caramel éclair on a fancy plate, fine pastry . Blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed","static, noisy, deformed, shaky, abrupt, flat, low contrast",,""
Macro Photography,00418-Macro Photography.jpg,Photo,Éclair,pastry,"Macro Photography, a single caramel éclair on a fancy plate, fine pastry, close-up, macro 100mm, macro photography","ugly, deformed, noisy, blurry, low contrast",,""
Movie Still (Jugger XL),00419-Jugger XL (Movie Still).jpg,Photo,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:jugger-xl:1> Movie Still","",,"Juggernaut Cinematic XL LoRA"
Neon Noir,00420-Neon Noir.jpg,Photo,Éclair,pastry,"Neon noir a single caramel éclair on a fancy plate, fine pastry . Cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed","bright, sunny, daytime, low contrast, black and white, sketch, watercolor",,""
Silhouette,00421-Silhouette.jpg,Photo,Éclair,pastry,"Silhouette style a single caramel éclair on a fancy plate, fine pastry . High contrast, minimalistic, black and white, stark, dramatic","ugly, deformed, noisy, blurry, low contrast, color, realism, photorealistic",,""
Tilt-Shift,00422-Tilt-Shift.jpg,Photo,Éclair,pastry,"Tilt-shift photo of a single caramel éclair on a fancy plate, fine pastry . Selective focus, miniature effect, blurred background, highly detailed, vibrant, perspective control","blurry, noisy, deformed, flat, low contrast, unrealistic, oversaturated, underexposed",,""
White Background,00423-White Background.jpg,Photo,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:white_1_0:1> with a white background","",,"White Background"
Academia,00424-Academia.jpg,Miscellaneous,Éclair,pastry,"Academia, a single caramel éclair on a fancy plate, fine pastry, preppy Ivy League style, stark, dramatic, chic boarding school, academia","ugly, deformed, noisy, blurry, low contrast, grunge, sloppy, unkempt",,""
Action Figure,00425-Action Figure.jpg,Miscellaneous,Éclair,pastry,"Action Figure, a single caramel éclair on a fancy plate, fine pastry, plastic collectable action figure, collectable toy action figure","ugly, deformed, noisy, blurry, low contrast",,""
Architectural,00426-Architectural.jpg,Miscellaneous,Éclair,pastry,"Architectural style a single caramel éclair on a fancy plate, fine pastry . Clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed","curved lines, ornate, baroque, abstract, grunge",,""
Astral Aura,00427-Astral Aura.jpg,Miscellaneous,Éclair,pastry,"Astral Aura, a single caramel éclair on a fancy plate, fine pastry, astral, colorful aura, vibrant energy","ugly, deformed, noisy, blurry, low contrast",,""
Blueprint,00428-Blueprint Schematic Drawing.jpg,Miscellaneous,Éclair,pastry,"Blueprint Schematic Drawing, a single caramel éclair on a fancy plate, fine pastry, technical drawing, blueprint, schematic","ugly, deformed, noisy, blurry, low contrast",,""
Dark Moody,00429-Dark Moody Atmosphere.jpg,Miscellaneous,Éclair,pastry,"Dark Moody Atmosphere, a single caramel éclair on a fancy plate, fine pastry, dramatic, mysterious, dark moody atmosphere","ugly, deformed, noisy, blurry, low contrast, vibrant, colorful, bright",,""
Disco,00430-Disco.jpg,Miscellaneous,Éclair,pastry,"Disco-themed a single caramel éclair on a fancy plate, fine pastry . Vibrant, groovy, retro 70s style, shiny disco balls, neon lights, dance floor, highly detailed","minimalist, rustic, monochrome, contemporary, simplistic",,""
Dreamscape,00431-Dreamscape.jpg,Miscellaneous,Éclair,pastry,"Dreamscape a single caramel éclair on a fancy plate, fine pastry . Surreal, ethereal, dreamy, mysterious, fantasy, highly detailed","realistic, concrete, ordinary, mundane",,""
Dystopian,00432-Dystopian.jpg,Miscellaneous,Éclair,pastry,"Dystopian style a single caramel éclair on a fancy plate, fine pastry . Bleak, post-apocalyptic, somber, dramatic, highly detailed","ugly, deformed, noisy, blurry, low contrast, cheerful, optimistic, vibrant, colorful",,""
Fairy Tale,00433-Fairy Tale.jpg,Miscellaneous,Éclair,pastry,"Fairy tale a single caramel éclair on a fancy plate, fine pastry . Magical, fantastical, enchanting, storybook style, highly detailed","realistic, modern, ordinary, mundane",,""
Fx Monster,00434-Fx Monster.jpg,Miscellaneous,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:fx-monsters-xl:0.6> fx-monsters, creepy, creature, melting, bloody, screaming","",,"Fx-Monsters"
Gothic,00435-Gothic.jpg,Miscellaneous,Éclair,pastry,"Gothic style a single caramel éclair on a fancy plate, fine pastry . Dark, mysterious, haunting, dramatic, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, cheerful, optimistic",,""
Grunge,00436-Grunge.jpg,Miscellaneous,Éclair,pastry,"Grunge style a single caramel éclair on a fancy plate, fine pastry . Textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy","smooth, clean, minimalist, sleek, modern, photorealistic",,""
Horror,00437-Horror.jpg,Miscellaneous,Éclair,pastry,"Horror-themed a single caramel éclair on a fancy plate, fine pastry . Eerie, unsettling, dark, spooky, suspenseful, grim, highly detailed","cheerful, bright, vibrant, light-hearted, cute",,""
Kawaii,00438-Kawaii.jpg,Miscellaneous,Éclair,pastry,"kawaii style a single caramel éclair on a fancy plate, fine pastry . cute, adorable, brightly colored, cheerful, anime influence, highly detailed","dark, scary, realistic, monochrome, abstract",,""
Logo,00439-Logo Design.jpg,Miscellaneous,Éclair,pastry,"Logo Design, a single caramel éclair on a fancy plate, fine pastry, dynamic graphic art, vector art, minimalist, professional logo design","ugly, deformed, noisy, blurry, low contrast",,""
Lovecraftian,00440-Lovecraftian.jpg,Miscellaneous,Éclair,pastry,"lovecraftian horror a single caramel éclair on a fancy plate, fine pastry . eldritch, cosmic horror, unknown, mysterious, surreal, highly detailed","light-hearted, mundane, familiar, simplistic, realistic",,""
Macabre,00441-Macabre.jpg,Miscellaneous,Éclair,pastry,"macabre style a single caramel éclair on a fancy plate, fine pastry . dark, gothic, grim, haunting, highly detailed","bright, cheerful, light-hearted, cartoonish, cute",,""
Manga,00442-Manga.jpg,Miscellaneous,Éclair,pastry,"manga style a single caramel éclair on a fancy plate, fine pastry . vibrant, high-energy, detailed, iconic, Japanese comic style","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, Western comic style",,""
Medievalism,00443-Medievalism.jpg,Miscellaneous,Éclair,pastry,"Medievalism, a single caramel éclair on a fancy plate, fine pastry, inspired by The Middle Ages, medieval art, elaborate patterns and decoration, Medievalism","ugly, deformed, noisy, blurry, low contrast",,""
Metropolis,00444-Metropolis.jpg,Miscellaneous,Éclair,pastry,"metropolis-themed a single caramel éclair on a fancy plate, fine pastry . urban, cityscape, skyscrapers, modern, futuristic, highly detailed","rural, natural, rustic, historical, simple",,""
Minimalist,00445-Minimalist.jpg,Miscellaneous,Éclair,pastry,"Minimalist style a single caramel éclair on a fancy plate, fine pastry . Simple, clean, uncluttered, modern, elegant","ornate, complicated, highly detailed, cluttered, disordered, messy, noisy",,""
Monochrome,00446-Monochrome.jpg,Miscellaneous,Éclair,pastry,"Monochrome a single caramel éclair on a fancy plate, fine pastry . Black and white, contrast, tone, texture, detailed","colorful, vibrant, noisy, blurry, deformed",,""
Nautical,00447-Nautical.jpg,Miscellaneous,Éclair,pastry,"Nautical-themed a single caramel éclair on a fancy plate, fine pastry . Sea, ocean, ships, maritime, beach, marine life, highly detailed","landlocked, desert, mountains, urban, rustic",,""
Perfect Eyes,00448-Perfect Eyes.jpg,Miscellaneous,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:perfect-eyes-xl:1> perfecteyes","",,"Perfect Eyes XL"
Space,00449-Space.jpg,Miscellaneous,Éclair,pastry,"Space-themed a single caramel éclair on a fancy plate, fine pastry . Cosmic, celestial, stars, galaxies, nebulas, planets, science fiction, highly detailed","earthly, mundane, ground-based, realism",,""
Stained Glass,00450-Stained Glass.jpg,Miscellaneous,Éclair,pastry,"Stained glass style a single caramel éclair on a fancy plate, fine pastry . Vibrant, beautiful, translucent, intricate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",,""
Techwear Fashion,00451-Techwear Fashion.jpg,Miscellaneous,Éclair,pastry,"Techwear fashion a single caramel éclair on a fancy plate, fine pastry . Futuristic, cyberpunk, urban, tactical, sleek, dark, highly detailed","vintage, rural, colorful, low contrast, realism, sketch, watercolor",,""
Terragen,00452-Terragen.jpg,Miscellaneous,Éclair,pastry,"Terragen, a single caramel éclair on a fancy plate, fine pastry, beautiful massive landscape, epic scenery, Terragen","ugly, deformed, noisy, blurry, low contrast",,""
Tribal,00453-Tribal.jpg,Miscellaneous,Éclair,pastry,"Tribal style a single caramel éclair on a fancy plate, fine pastry . Indigenous, ethnic, traditional patterns, bold, natural colors, highly detailed","modern, futuristic, minimalist, pastel",,""
WOW-ifier,00454-WOW-ifier.jpg,Miscellaneous,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry, <lora:wowifier-xl:0.8> art by mooncryptowow","",,"WowifierXL"
Zentangle,00455-Zentangle.jpg,Miscellaneous,Éclair,pastry,"Zentangle a single caramel éclair on a fancy plate, fine pastry . Intricate, abstract, monochrome, patterns, meditative, highly detailed","colorful, representative, simplistic, large fields of color",,""
Base,pastry.jpg,No style,Éclair,pastry,"a single caramel éclair on a fancy plate, fine pastry","",,""
